mainid,midid,lastid,lastname,eduid,result,n_lastname,jeiba_lastname
5,512,51204,福祉科技與服務管理系,760204,福祉(Na) 科技(Na) 服務(VC) 管理系(VC),福祉 科技 服務 管理系,福祉 科技 與 服務 管理系
5,512,51205,老人褔利與事業系,,老人(Na) 褔利(Na) 事業系(Na),老人 褔利 事業系,老人 褔利 與 事業系
5,512,51206,老年服務管理系,760206,老年(Na) 服務(Nv) 管理系(Na),老年 服務 管理系,老年 服務 管理系
5,512,51207,銀髮健康駔進與照顧服務學程,760208,銀髮(Na) 健康(VH) 照顧(VC) 服務(VC) 學程(Na),銀髮 健康 照顧 服務 學程,銀 髮 健康 駔 進 與 照顧 服務學程
5,512,51207,銀髮族健康促進與照顧服務學程,760208,銀髮族(Na) 健康(VH) 促進(VK) 照顧(VC) 服務(VC) 學程(Na),銀髮族 健康 促進 照顧 服務 學程,銀 髮 族 健康 促進 與 照顧 服務學程
5,512,51208,銀髮健康促進學系,760209,銀髮(Na) 健康(VH) 促進(VK) 學系(Na),銀髮 健康 促進 學系,銀 髮 健康 促進 學系
5,512,51209,銀髮生活產業學位學程,760210,銀髮(Na) 生活(Na) 產業(Na) 學位(Na) 學程(Na),銀髮 生活 產業 學位 學程,銀 髮 生活 產業 學位 學程
5,512,51210,銀髮養生環境學系,760213,銀髮(Na) 養生(VA) 環境(Na) 學系(Na),銀髮 養生 環境 學系,銀 髮 養生 環境 學系
5,512,51211,銀髮生活事業管理學位學程,760214,銀髮(Na) 生活(Na) 事業(Na) 管理(VC) 學位(Na) 學程(Na),銀髮 生活 事業 管理 學位 學程,銀 髮 生活 事業 管理 學位 學程
5,512,51212,老人福祉與社會工作學系,760216,老人(Na) 福祉(Na) 社會(Na) 工作(Na) 學系(Na),老人 福祉 社會 工作 學系,老人 福祉 與 社會 工作 學系
5,512,51213,老人長期照顧學位學程,,老人(Na) 長期(Na) 照顧(VC) 學位(Na) 學程(Na),老人 長期 照顧 學位 學程,老人 長 期照 顧學位 學程
5,513,51301,社會工作學系,760301,社會(Na) 工作(Na) 學系(Na),社會 工作 學系,社會 工作 學系
5,513,51301,社會政策與社會工作學系,760301,社會(Na) 政策(Na) 社會(Na) 工作(Na) 學系(Na),社會 政策 社會 工作 學系,社會 政策 與 社會 工作 學系
5,513,51301,社工系,760301,社工系(Nc),社工系,社工 系
5,513,51302,社會行政與社會工作研究所,760302,社會(Na) 行政(Na) 社會(Na) 工作(Na) 研究所(Nc),社會 行政 社會 工作 研究所,社會 行政 與 社會 工作 研究所
5,513,51303,醫學社會與社會工作學系,760303,醫學(Na) 社會(Na) 社會(Na) 工作(Na) 學系(Na),醫學 社會 社會 工作 學系,醫學 社會 與 社會 工作 學系
5,513,51303,醫學社會學與社會工作學系,760303,醫學(Na) 社會學(Na) 社會(Na) 工作(Na) 學系(Na),醫學 社會學 社會 工作 學系,醫學 社會學 與 社會 工作 學系
5,513,51304,社會福利學系,760304,社會(Na) 福利(Na) 學系(Na),社會 福利 學系,社會 福利 學系
5,513,51305,社會福祉與服務管理系,760306,社會(Na) 福祉(Na) 服務(VC) 管理(VC),社會 福祉 服務 管理,社會 福祉 與 服務 管理系
5,513,51306,社會工作與兒童少年福利學系,760307,社會(Na) 工作(Na) 兒童(Na) 少年(Na) 福利(Na) 學系(Na),社會 工作 兒童 少年 福利 學系,社會 工作 與 兒童 少年 福利 學系
5,513,51307,健康照顧社會工作系,760308,健康(VH) 照顧(VC) 社會(Na) 工作(Na),健康 照顧 社會 工作,健康 照顧 社會 工作 系
5,514,51401,幼兒保育學系,760401,幼兒(Na) 保育(Nv) 學系(Na),幼兒 保育 學系,幼兒 保育 學系
5,514,51401,嬰幼兒保育技術學系,760401,嬰幼兒(Na) 保育(VC) 技術(Na) 學系(Na),嬰幼兒 保育 技術 學系,嬰幼兒 保育 技術 學系
5,514,51402,兒童發展研究所,760402,兒童(Na) 發展(Na) 研究所(Nc),兒童 發展 研究所,兒童 發展 研究所
5,514,51403,兒童與家庭學系,760403,兒童(Na) 家庭學系(Na),兒童 家庭學系,兒童 與 家庭 學系
5,514,51403,兒童與家庭服務學系,760403,兒童(Na) 家庭(Na) 服務(Nv) 學系(Na),兒童 家庭 服務 學系,兒童 與 家庭 服務學系
5,514,51404,家庭研究與兒童發展學系,760404,家庭(Na) 研究(Nv) 兒童(Na) 發展(VC) 學系(Na),家庭 研究 兒童 發展 學系,家庭 研究 與 兒童 發展 學系
5,514,51405,兒童福利學系,,兒童(Na) 福利(Na) 學系(Na),兒童 福利 學系,兒童 福利 學系
5,514,51405,青少年兒童福利學系,,青少年(Na) 兒童(Na) 福利(Na) 學系(Na),青少年 兒童 福利 學系,青少年 兒童 福利 學系
5,514,51406,兒童福利學系,760406,兒童(Na) 福利(Na) 學系(Na),兒童 福利 學系,兒童 福利 學系
5,515,51501,民族社會工作學位學程,769901,民族(Na) 社會(Na) 工作(Na) 學位(Na) 學程(Na),民族 社會 工作 學位 學程,民族 社會 工作 學位 學程
5,515,51502,社會服務類第二專長學位學程,769989,社會(Na) 服務(Nv) 第二(Neu) 專長(Na) 學位(Na) 學程(Na),社會 服務 第二 專長 學位 學程,社會 服務類 第二 專長 學位 學程
6,601,60101,商學系,340101,商學系(Nc),商學系,商學系
6,601,60102,商學與管理研究所,340102,商學(Na) 管理(Na) 研究所(Nc),商學 管理 研究所,商學 與 管理 研究所
6,601,60103,商務經營研究所,340103,商務(Na) 經營(Nv) 研究所(Nc),商務 經營 研究所,商務 經營 研究所
6,601,60104,商業經營學系,340104,商業(Na) 經營(VC) 學系(Na),商業 經營 學系,商業 經營 學系
6,601,60105,智慧財產研究所,340105,智慧(Na) 財產(Na) 研究所(Nc),智慧 財產 研究所,智慧 財產 研究所
6,601,60106,電子商務學系,340106,電子(Na) 商務(Na) 學系(Na),電子 商務 學系,電子 商務學系
6,601,60106,資訊與電子商務學系,340106,資訊(Na) 電子(Na) 商務(Na) 學系(Na),資訊 電子 商務 學系,資訊 與 電子 商務學系
6,601,60107,電子商務管理學系,340107,電子(Na) 商務(Na) 管理(VC) 學系(Na),電子 商務 管理 學系,電子 商務 管理 學系
6,601,60108,資訊商務學系,340108,資訊(Na) 商務(Na) 學系(Na),資訊 商務 學系,資訊 商務學系
6,601,60109,資訊經營學系,340109,資訊(Na) 經營(Nv) 學系(Na),資訊 經營 學系,資訊 經營 學系
6,601,60110,財經研究所,340110,財經(Na) 研究所(Nc),財經 研究所,財經 研究所
6,601,60111,應用商學系,340111,應用(Na) 商學系(Nc),應用 商學系,應用 商學系
6,601,60112,數位商務系,340113,商務系(Nc),商務系,數位 商務系
6,601,60113,會計與財務金融學位學程,340114,會計(Na) 財務(Na) 金融(Na) 學位(Na) 學程(Na),會計 財務 金融 學位 學程,會計 與 財務 金融 學位 學程
6,601,60114,商業管理學位學程,340115,商業(Na) 管理(Na) 學位(Na) 學程(Na),商業 管理 學位 學程,商業 管理 學位 學程
6,602,60201,會計學系,340201,會計(Na) 學系(Na),會計 學系,會計 學系
6,602,60201,會計與資訊學系,340201,會計(Na) 資訊(Na) 學系(Na),會計 資訊 學系,會計 與 資訊學系
6,602,60201,會計與資訊系統學系,340201,會計(Na) 資訊(Na) 系統(Na) 學系(Na),會計 資訊 系統 學系,會計 與 資訊系 統學系
6,602,60201,會計與資訊科技學系,340201,會計(Na) 資訊(Na) 科技(Na) 學系(Na),會計 資訊 科技 學系,會計 與 資訊 科技 學系
6,602,60202,會計財稅研究所,340202,會計(Na) 財稅(Na) 研究所(Nc),會計 財稅 研究所,會計 財稅 研究所
6,602,60202,會計與財稅研究所,340202,會計(Na) 財稅(Na) 研究所(Nc),會計 財稅 研究所,會計 與 財稅 研究所
6,602,60203,銀行會計學系,340203,銀行(Nc) 會計學系(Na),銀行 會計學系,銀行會 計學系
6,602,60204,會計統計學系,340204,會計(Na) 統計(Na) 學系(Na),會計 統計 學系,會計統 計學系
6,602,60205,會計與財務學位學程,340208,會計(Na) 財務(Na) 學位(Na) 學程(Na),會計 財務 學位 學程,會計 與 財務學位 學程
6,603,60301,企業管理學系,340301,企業(Na) 管理(Na) 學系(Na),企業 管理 學系,企業 管理 學系
6,603,60302,工商管理學系,340302,工商(Na) 管理(VC) 學系(Na),工商 管理 學系,工商管理 學系
6,603,60303,經營管理學系,340303,經營(VC) 管理(VC) 學系(Na),經營 管理 學系,經營 管理 學系
6,603,60303,經營與管理技術學系,340303,經營(VC) 管理(VC) 技術(Na) 學系(Na),經營 管理 技術 學系,經營 與 管理 技術 學系
6,603,60304,經營決策學系,340304,經營(VC) 決策(Na) 學系(Na),經營 決策 學系,經營 決策 學系
6,603,60305,事業經營學系,340305,事業(Na) 經營(VC) 學系(Na),事業 經營 學系,事業 經營 學系
6,603,60306,管理學系,340306,管理(Na) 學系(Na),管理 學系,管理 學系
6,603,60306,管理科學學系,340306,管理(Na) 科學(Na) 學系(Na),管理 科學 學系,管理科 學學系
6,603,60307,國際企業學系,340307,國際(Nc) 企業(Na) 學系(Na),國際 企業 學系,國際 企業 學系
6,603,60307,國際企業與管理學系,340307,國際(Nc) 企業(Na) 管理(Na) 學系(Na),國際 企業 管理 學系,國際 企業 與 管理 學系
6,603,60308,國際企業與貿易系,340308,國際(Nc) 企業(Na) 貿易系(Nc),國際 企業 貿易系,國際 企業 與 貿易系
6,603,60309,國際企業經營系,340309,國際(Nc) 企業(Na) 經營(Nc),國際 企業 經營,國際 企業 經營系
6,603,60310,國際管理碩士,340310,國際(Nc) 管理(Na) 碩士(Na),國際 管理 碩士,國際 管理 碩士
6,603,60310,國際經營管理碩士,340310,國際(Nc) 經營(VC) 管理(Na) 碩士(Na),國際 經營 管理 碩士,國際 經營 管理 碩士
6,603,60310,國際經營專業管理碩士,340310,國際(Nc) 經營(VC) 專業(VH) 管理(Na) 碩士(Na),國際 經營 專業 管理 碩士,國際 經營 專業 管理 碩士
6,603,60311,商業自動化與管理系,340311,商業(Na) 自動化(VHC) 管理系(Nc),商業 自動化 管理系,商業 自動化 與 管理系
6,603,60312,產業經營管理系,340312,產業(Na) 經營(Nv) 管理(Nc),產業 經營 管理,產業 經營 管理系
6,603,60313,亞太工商管理學系,340313,亞太(Nc) 工商(Na) 管理(VC) 學系(Na),亞太 工商 管理 學系,亞太 工商管理 學系
6,603,60314,中小企業經營策略管理研究所,340314,中小企業(Na) 經營(Nv) 策略(Na) 管理(Na) 研究所(Nc),中小企業 經營 策略 管理 研究所,中小 企業 經營 策略管理 研究所
6,603,60315,企業創新發展研究所,340315,企業(Na) 創新(VC) 發展(VC) 研究所(Nc),企業 創新 發展 研究所,企業 創新 發展 研究所
6,603,60316,企業創新與創業管理研究所,340316,企業(Na) 創新(VC) 創業(VA) 管理(Na) 研究所(Nc),企業 創新 創業 管理 研究所,企業 創新 與 創業 管理 研究所
6,603,60317,領導研究所,340317,領導(VC) 研究所(Nc),領導 研究所,領導 研究所
6,603,60318,管理碩士學程,,管理(VC) 碩士(Na) 學程(Na),管理 碩士 學程,管理 碩士 學程
6,603,60319,國際高階經營碩士,340319,國際(Nc) 經營(VC) 碩士(Na),國際 經營 碩士,國際 高階經 營碩士
6,603,60320,國際創業與經營管理學程,340320,國際(Nc) 創業(VA) 經營(VC) 管理(VC) 學程(Na),國際 創業 經營 管理 學程,國際 創業 與 經營 管理 學程
6,603,60321,企業與創業管理學系,340321,企業(Na) 創業(VA) 管理(VC) 學系(Na),企業 創業 管理 學系,企業 與 創業 管理 學系
6,603,60322,全球華商經營管理碩士,340322,全球(Nc) 華商(Na) 經營(VC) 管理(VC) 碩士(Na),全球 華商 經營 管理 碩士,全球 華商 經營 管理 碩士
6,603,60323,企業電子化學系,340323,企業(Na) 電子(Na) 化學(Nc),企業 電子 化學,企業 電子化 學系
6,603,60324,創新與創業管理學系,340324,創新(VC) 創業(Nv) 管理(VC) 學系(Na),創新 創業 管理 學系,創新 與 創業 管理 學系
6,603,60325,創新創業經營係,,創新(VC) 創業(VA) 經營(VC),創新 創業 經營,創新 創業 經營 係
6,603,60325,產業創新創業經營系,,產業(Na) 創新(VC) 創業(VA) 經營系(VC),產業 創新 創業 經營系,產業 創新 創業 經營系
6,603,60326,創業管理學位學程,340326,創業(VA) 管理(VC) 學位(Na) 學程(Na),創業 管理 學位 學程,創業 管理 學位 學程
6,603,60327,財經與商務決策研究所,340327,財經(Na) 商務(Na) 決策(Na) 研究所(Nc),財經 商務 決策 研究所,財經 與 商務 決策 研究所
6,603,60328,國際企業管理與大陸經貿系,340328,國際(Nc) 企業(Na) 管理(VC) 大陸(Nc) 經貿系(Nc),國際 企業 管理 大陸 經貿系,國際 企業 管理 與 大陸 經貿系
6,603,60329,創業管理碩士學位學程,,創業(Nv) 管理(VC) 碩士(Na) 學位(Na) 學程(Na),創業 管理 碩士 學位 學程,創業 管理 碩士 學位 學程
6,603,60330,服務與創新管理研究所,,服務(VC) 創新(VC) 管理(Na) 研究所(Nc),服務 創新 管理 研究所,服務 與 創新 管理 研究所
6,604,60401,國際貿易學系,340401,國際(Nc) 貿易(Na) 學系(Na),國際 貿易 學系,國際 貿易 學系
6,604,60401,國際貿易暨商務營運學系,340401,國際(Nc) 貿易(Na) 商務(Na) 營運(Nv) 學系(Na),國際 貿易 商務 營運 學系,國際 貿易 暨 商務營 運學系
6,604,60402,國際貿易與金融學系,340402,國際(Nc) 貿易(Na) 金融(Na) 學系(Na),國際 貿易 金融 學系,國際 貿易 與 金融 學系
6,604,60403,國際商務學系,340403,國際(Nc) 商務(Na) 學系(Na),國際 商務 學系,國際 商務學系
6,604,60404,貿易經營研究所,340404,貿易(Na) 經營(Nv) 研究所(Nc),貿易 經營 研究所,貿易 經營 研究所
6,604,60405,國際商學研究所,340405,國際(Nc) 商學(Na) 研究所(Nc),國際 商學 研究所,國際 商學 研究所
6,604,60406,國際行銷與運籌學系,340406,國際(Nc) 行銷(Na) 運籌(VC) 學系(Na),國際 行銷 運籌 學系,國際 行銷 與 運籌學系
6,604,60407,國際經營與貿易學系,340408,國際(Nc) 經營(VC) 貿易(Na) 學系(Na),國際 經營 貿易 學系,國際 經營 與 貿易 學系
6,604,60408,兩岸經貿學位學程,340409,兩岸(Nc) 經貿(Na) 學位(Na) 學程(Na),兩岸 經貿 學位 學程,兩岸 經貿學位 學程
6,604,60409,國際貿易與管理學位學程,340410,國際(Nc) 貿易(Na) 管理(Na) 學位(Na) 學程(Na),國際 貿易 管理 學位 學程,國際 貿易 與 管理 學位 學程
6,604,60410,國際貿易運籌系,340411,國際(Nc) 貿易(Na) 運籌系(VC),國際 貿易 運籌系,國際 貿易 運籌系
6,604,60411,會議展覽與國際行銷學位學程,340412,會議(Na) 展覽(VC) 國際(Nc) 行銷(Na) 學位(Na) 學程(Na),會議 展覽 國際 行銷 學位 學程,會議 展覽 與 國際行 銷學位 學程
6,605,60501,財務金融學系,340501,財務(Na) 金融(Na) 學系(Na),財務 金融 學系,財務 金融 學系
6,605,60501,計量財務金融學系,340501,計量(VA) 財務(Na) 金融(Na) 學系(Na),計量 財務 金融 學系,計量 財務 金融 學系
6,605,60501,數量財務金融學系,340501,數量(Na) 財務(Na) 金融(Na) 學系(Na),數量 財務 金融 學系,數量 財務 金融 學系
6,605,60502,財務系,340502,財務系(Nc),財務系,財務系
6,605,60505,金融學系,340505,金融(Na) 學系(Na),金融 學系,金融 學系
6,605,60506,金融營運學系,340506,金融(Na) 營運(Nv) 學系(Na),金融 營運 學系,金融 營運學系
6,605,60507,金融資訊研究所,340507,金融(Na) 資訊(Na) 研究所(Nc),金融 資訊 研究所,金融 資訊 研究所
6,605,60508,金融管理學系,340508,金融(Na) 管理(VC) 學系(Na),金融 管理 學系,金融管理 學系
6,605,60509,金融理財研究所,340509,金融(Na) 理財(VA) 研究所(Nc),金融 理財 研究所,金融 理財 研究所
6,605,60510,銀行保險系,340510,銀行(Nc) 保險系(Na),銀行 保險系,銀行 保險系
6,605,60511,資訊與財金管理學系,340511,資訊(Na) 財金(Na) 管理(VC) 學系(Na),資訊 財金 管理 學系,資訊 與 財金 管理 學系
6,605,60512,銀行財務學系,340512,銀行(Nc) 財務(Na) 學系(Na),銀行 財務 學系,銀行 財務學系
6,605,60513,財務金融營運系,340513,財務(Na) 金融(Na) 營運系(Nv),財務 金融 營運系,財務 金融 營運系
6,605,60514,銀行學系,340514,銀行(Nc) 學系(Na),銀行 學系,銀行 學系
6,605,60515,銀行管理學系,340515,銀行(Nc) 管理(VC) 學系(Na),銀行 管理 學系,銀行 管理 學系
6,605,60516,國際財務金融學系,340516,國際(Nc) 財務(Na) 金融(Na) 學系(Na),國際 財務 金融 學系,國際 財務 金融 學系
6,605,60517,公司理財碩士學位學程,340517,公司(Nc) 理財(VA) 碩士(Na) 學位(Na) 學程(Na),公司 理財 碩士 學位 學程,公司 理財碩士 學位 學程
6,605,60518,金融與合作經營學系,340518,金融(Na) 合作(VH) 經營(VC) 學系(Na),金融 合作 經營 學系,金融 與 合作 經營 學系
6,605,60519,國際金融管理學位學程,340519,國際(Nc) 金融(Na) 管理(VC) 學位(Na) 學程(Na),國際 金融 管理 學位 學程,國際 金融管理 學位 學程
6,605,60520,理財與稅務管理研究所,340520,理財(VA) 稅務(Na) 管理(VC) 研究所(Nc),理財 稅務 管理 研究所,理財 與 稅務 管理 研究所
6,605,60521,理財與稅務規劃系,340521,理財(VA) 稅務(Na) 規劃(Na),理財 稅務 規劃,理財 與 稅務 規劃系
6,605,60522,金融與國際企業學系,340522,金融(Na) 國際(Nc) 企業(Na) 學系(Na),金融 國際 企業 學系,金融 與 國際 企業 學系
6,605,60523,財務資訊與金融系,340523,財務(Na) 資訊(Na) 金融系(Nc),財務 資訊 金融系,財務資訊 與 金融系
6,606,60601,風險管理學系,340601,風險(Na) 管理(VC) 學系(Na),風險 管理 學系,風險 管理 學系
6,606,60601,風險管理與保險學系,340601,風險(Na) 管理(VC) 保險(Na) 學系(Na),風險 管理 保險 學系,風險 管理 與 保險 學系
6,606,60601,風管系,340601,風管系(Nc),風管系,風管系
6,606,60602,風險管理與統計資訊研究所,340602,風險(Na) 管理(VC) 統計(Na) 資訊(Na) 研究所(Nc),風險 管理 統計 資訊 研究所,風險 管理 與 統計 資訊 研究所
6,606,60603,金融與風險管理系,340603,金融(Na) 風險(Na) 管理(Na),金融 風險 管理,金融 與 風險 管理系
6,606,60604,保險學系,340604,保險(Na) 學系(Na),保險 學系,保險 學系
6,606,60605,保險金融系,340605,保險(Na) 金融系(Nc),保險 金融系,保險 金融系
6,606,60605,保險金融管理系,340605,保險(Na) 金融(Na) 管理(Na),保險 金融 管理,保險 金融 管理系
6,606,60606,金融保險系,340606,金融(Na) 保險系(Na),金融 保險系,金融 保險系
6,606,60607,保險營運系,340607,保險(Na) 營運系(Nv),保險 營運系,保險 營運系
6,606,60608,保險經營研究所,340608,保險(Na) 經營(VC) 研究所(Nc),保險 經營 研究所,保險 經營 研究所
6,606,60608,保險經營與金融經濟研究所,340608,保險(Na) 經營(VC) 金融(Na) 經濟(Na) 研究所(Nc),保險 經營 金融 經濟 研究所,保險 經營 與 金融 經濟 研究所
6,606,60609,健康風險管理學系,340609,健康(VH) 風險(Na) 管理(VC) 學系(Na),健康 風險 管理 學系,健康 風險 管理 學系
6,606,60610,理財與保險管理系,340610,理財(VA) 保險(Na) 管理(VC),理財 保險 管理,理財 與 保險 管理系
6,607,60701,財政學系,340701,財政(Na) 學系(Na),財政 學系,財政學系
6,607,60702,財物稅務學系,340702,財物(Na) 稅務(Na) 學系(Na),財物 稅務 學系,財物 稅務學系
6,607,60702,財物稅務管理學系,340702,財物(Na) 稅務(Na) 管理(VC) 學系(Na),財物 稅務 管理 學系,財物 稅務 管理 學系
6,607,60703,財稅學系,340703,財稅(Na) 學系(Na),財稅 學系,財稅 學系
6,607,60704,財稅與會計資訊研究所,340706,財稅(Na) 會計(Na) 資訊(Na) 研究所(Nc),財稅 會計 資訊 研究所,財稅 與 會 計資訊 研究所
6,608,60801,行銷學系,340801,行銷(Na) 學系(Na),行銷 學系,行銷 學系
6,608,60801,行銷管理學系,340801,行銷(Na) 管理(VC) 學系(Na),行銷 管理 學系,行銷 管理 學系
6,608,60801,行管系,340801,行管系(Nc),行管系,行管 系
6,608,60802,行銷流通管理係,340802,行銷(Na) 流通(Nv) 管理(Na),行銷 流通 管理,行銷 流通 管理 係
6,608,60802,行銷與流通管理系,340802,行銷(Na) 流通(Nv) 管理(Nc),行銷 流通 管理,行銷 與 流通 管理系
6,608,60803,流通管理系,340803,流通(Nv) 管理(Nc),流通 管理,流通 管理系
6,608,60803,流通科技管理系,340803,流通(Nv) 科技(Na) 管理(Nc),流通 科技 管理,流通 科技 管理系
6,608,60804,物流管理學系,340804,物流(Na) 管理(VC) 學系(Na),物流 管理 學系,物流 管理 學系
6,608,60804,行銷與物流管理學系,340804,行銷(Na) 物流(Na) 管理(Na) 學系(Na),行銷 物流 管理 學系,行銷 與 物流 管理 學系
6,608,60805,運籌管理系,340805,運籌(VC) 管理(Nc),運籌 管理,運籌 管理系
6,608,60805,運籌與行銷管理系,340805,運籌(VC) 行銷(Na) 管理(Nc),運籌 行銷 管理,運籌 與 行銷 管理系
6,608,60806,全球運籌管理研究所,340806,全球(Nc) 運籌(VC) 管理(VC) 研究所(Nc),全球 運籌 管理 研究所,全球 運籌 管理 研究所
6,608,60807,國際行銷學系,340808,國際(Nc) 行銷(Na) 學系(Na),國際 行銷 學系,國際行 銷學系
6,608,60808,國際物流與行銷系,340809,國際(Nc) 物流(Na) 行銷系(Na),國際 物流 行銷系,國際 物流 與 行銷系
6,608,60809,經貿運籌管理研究所,340810,經貿(Na) 運籌(VC) 管理(VC) 研究所(Nc),經貿 運籌 管理 研究所,經貿 運籌 管理 研究所
6,608,60810,資訊與運籌管理研究所,340811,資訊(Na) 運籌(VC) 管理(Na) 研究所(Nc),資訊 運籌 管理 研究所,資訊 與 運籌 管理 研究所
6,608,60503,財務金融與保險研究所,340503,財務(Na) 金融(Na) 保險(Na) 研究所(Nc),財務 金融 保險 研究所,財務 金融 與 保險 研究所
6,608,60504,財務管理學系,340504,財務(Na) 管理(VC) 學系(Na),財務 管理 學系,財務 管理 學系
6,608,60504,應用財務金融管理學系,340504,應用(Na) 財務(Na) 金融(Na) 管理(VC) 學系(Na),應用 財務 金融 管理 學系,應用 財務 金融管理 學系
6,608,60811,運輸物流與行銷管理學系,340812,運輸(VC) 物流(Na) 行銷(Na) 管理(VC) 學系(Na),運輸 物流 行銷 管理 學系,運輸 物流 與 行銷 管理 學系
6,608,60812,運銷與科技管理學系,340813,運銷(Nv) 科技(Na) 管理(VC) 學系(Na),運銷 科技 管理 學系,運銷 與 科技 管理 學系
6,608,60813,運籌與科技管理學系,340814,運籌(VC) 科技(Na) 管理(VC) 學系(Na),運籌 科技 管理 學系,運籌 與 科技 管理 學系
6,608,60814,行銷與供應鏈管理研究所,340815,行銷(Na) 供應鏈(Na) 管理(Na) 研究所(Nc),行銷 供應鏈 管理 研究所,行銷 與 供 應鏈 管理 研究所
6,608,60815,行銷與運籌研究所,,行銷(Na) 運籌(VC) 研究所(Nc),行銷 運籌 研究所,行銷 與 運籌 研究所
6,608,60816,電視與網路行銷管理系,340817,電視(Na) 網路(Na) 行銷(Na) 管理(VC),電視 網路 行銷 管理,電視 與 網路 行銷 管理系
6,608,60817,流通與行銷管理研究所,,流通(Nv) 行銷(Na) 管理(Na) 研究所(Nc),流通 行銷 管理 研究所,流通 與 行銷 管理 研究所
6,609,60901,醫務管理學系,340901,醫務(Na) 管理(VC) 學系(Na),醫務 管理 學系,醫務 管理 學系
6,609,60902,醫療資訊管理學系,340902,醫療(VC) 資訊(Na) 管理(VC) 學系(Na),醫療 資訊 管理 學系,醫療 資訊 管理 學系
6,609,60902,醫療資訊與管理學系,340902,醫療(VC) 資訊(Na) 管理(VC) 學系(Na),醫療 資訊 管理 學系,醫療 資訊 與 管理 學系
6,609,60903,醫療機構管理研究所,340903,醫療(VC) 機構(Na) 管理(VC) 研究所(Nc),醫療 機構 管理 研究所,醫療 機構 管理 研究所
6,609,60904,健康事業管理系,340904,健康(VH) 事業(Na) 管理(Na),健康 事業 管理,健康 事業 管理系
6,609,60905,健康產業管理研究所,,健康(VH) 產業(Na) 管理(Na) 研究所(Nc),健康 產業 管理 研究所,健康 產業 管理 研究所
6,609,60905,醫療暨健康產業管理研究所,,醫療(VC) 健康(VH) 產業(Na) 管理(Na) 研究所(Nc),醫療 健康 產業 管理 研究所,醫療 暨 健康 產業 管理 研究所
6,609,60906,健康暨醫務管理學系,340906,健康(VH) 醫務(Na) 管理(VC) 學系(Na),健康 醫務 管理 學系,健康 暨 醫務 管理 學系
6,609,60907,醫療產業科技管理學系,340907,醫療(VC) 產業(Na) 科技(Na) 管理(VC) 學系(Na),醫療 產業 科技 管理 學系,醫療 產業 科技 管理 學系
6,609,60908,醫務管理暨醫療資訊學系,340908,醫務(Na) 管理(VC) 醫療(VC) 資訊(Na) 學系(Na),醫務 管理 醫療 資訊 學系,醫務 管理 暨 醫療 資訊學系
6,610,61001,科技管理系,349901,科技(Na) 管理(Nc),科技 管理,科技 管理系
6,610,61001,商務科技管理系,349901,商務(Na) 科技(Na) 管理(Na),商務 科技 管理,商務 科技 管理系
6,610,61002,資訊管理與傳播系,349903,資訊(Na) 管理(Na) 傳播系(Nc),資訊 管理 傳播系,資訊 管理 與 傳播系
6,610,61003,出版事業管理研究所,349904,出版(VC) 事業(Na) 管理(Na) 研究所(Nc),出版 事業 管理 研究所,出版 事業 管理 研究所
6,610,61004,創新管理學系,349905,創新(VC) 管理(Na) 學系(Na),創新 管理 學系,創新 管理 學系
6,610,61005,工業管理學系,,工業(Na) 管理(VC) 學系(Na),工業 管理 學系,工業 管理 學系
6,610,61005,工業管理與經營資訊學系,,工業(Na) 管理(Na) 經營(VC) 資訊(Na) 學系(Na),工業 管理 經營 資訊 學系,工業 管理 與 經營 資訊學系
6,610,61006,工業管理科學系,349907,工業(Na) 管理(Na) 科學(Na),工業 管理 科學,工業 管理科 學系
6,610,61006,工業管理科學及技術系,349907,工業(Na) 管理(Na) 科學(Na) 技術系(Nc),工業 管理 科學 技術系,工業 管理科 學及 技術系
6,610,61007,工業與資訊管理學系,349908,工業(Na) 資訊(Na) 管理(VC) 學系(Na),工業 資訊 管理 學系,工業 與 資訊 管理 學系
6,610,61008,管理資訊學系,349909,管理(VC) 資訊(Na) 學系(Na),管理 資訊 學系,管理 資訊學系
6,610,61008,管理與資訊學系,349909,管理(VC) 資訊(Na) 學系(Na),管理 資訊 學系,管理 與 資訊學系
6,610,61009,經濟管理研究所,349910,經濟(Na) 管理(Na) 研究所(Nc),經濟 管理 研究所,經濟 管理 研究所
6,610,61010,資產與物業管理系,349911,資產(Na) 物業(Na) 管理(Na),資產 物業 管理,資產 與 物業 管理系
6,610,61011,資產科學學系,349912,資產(Na) 科學(Na) 學系(Na),資產 科學 學系,資產科 學學系
6,610,61011,資產管理科學學系,349912,資產(Na) 管理(Na) 科學(Na) 學系(Na),資產 管理 科學 學系,資產 管理科 學學系
6,610,61012,海洋事務研究所,349913,海洋(Na) 事務(Na) 研究所(Nc),海洋 事務 研究所,海洋 事務 研究所
6,610,61013,海洋創意產業研究所,349914,海洋(Na) 創意(Na) 產業(Na) 研究所(Nc),海洋 創意 產業 研究所,海洋 創意 產業 研究所
6,610,61014,海洋資源管理學系,349915,海洋(Na) 資源(Na) 管理(VC) 學系(Na),海洋 資源 管理 學系,海洋 資源 管理 學系
6,610,61015,不動產經營學系,,不動產(Na) 經營(VC) 學系(Na),不動產 經營 學系,不動產經 營學系
